iter	Passed	Remaining
684	1100	506
685	1102	504
686	1103	502
687	1104	500
688	1105	498
689	1107	497
690	1109	495
691	1110	494
692	1111	492
693	1112	490
694	1113	488
695	1114	486
696	1115	485
697	1117	483
698	1118	481
699	1119	479
700	1120	477
701	1122	476
702	1124	474
703	1125	473
704	1126	471
705	1127	469
706	1128	467
707	1129	465
708	1131	464
709	1132	462
710	1133	460
711	1134	458
712	1135	456
713	1137	455
714	1139	454
715	1140	452
716	1141	450
717	1142	448
718	1143	446
719	1144	445
720	1145	443
721	1146	441
722	1147	439
723	1148	437
724	1149	436
725	1150	434
726	1152	432
727	1153	431
728	1154	429
729	1155	427
730	1157	425
731	1158	424
732	1159	422
733	1160	420
734	1161	418
735	1162	417
736	1163	415
737	1164	413
738	1167	412
739	1169	410
740	1170	409
741	1172	407
742	1173	405
743	1174	404
744	1175	402
745	1177	400
746	1178	399
747	1179	397
748	1180	395
749	1183	394
750	1184	392
751	1185	390
752	1186	389
753	1187	387
754	1188	385
755	1194	385
756	1198	384
757	1200	383
758	1201	381
759	1203	379
760	1204	378
761	1205	376
762	1206	374
763	1208	373
764	1209	371
765	1211	370
766	1215	369
767	1216	367
768	1218	365
769	1219	364
770	1220	362
771	1222	360
772	1226	360
773	1230	359
774	1232	357
775	1233	356
776	1255	360
777	1257	358
778	1258	357
779	1261	355
780	1263	354
781	1264	352
782	1265	350
783	1270	349
784	1271	348
785	1272	346
786	1274	344
787	1277	343
788	1279	342
789	1280	340
790	1281	338
791	1283	336
792	1284	335
793	1285	333
794	1287	331
795	1288	330
796	1289	328
797	1301	329
798	1302	327
799	1303	325
800	1305	324
801	1306	322
802	1309	321
803	1310	319
804	1312	317
805	1313	316
806	1315	314
807	1316	312
808	1317	311
809	1318	309
810	1320	307
811	1322	306
812	1324	304
813	1325	302
814	1327	301
815	1328	299
816	1330	298
817	1331	296
818	1333	294
819	1334	292
820	1336	291
821	1338	289
822	1341	288
823	1342	286
824	1343	285
825	1344	283
826	1345	281
827	1346	279
828	1347	278
829	1348	276
830	1349	274
831	1350	272
832	1352	271
833	1354	269
834	1355	267
835	1356	266
836	1357	264
837	1358	262
838	1359	260
839	1360	259
840	1361	257
841	1362	255
842	1363	253
843	1364	252
844	1365	250
845	1368	249
846	1369	247
847	1370	245
848	1371	243
849	1372	242
850	1373	240
851	1374	238
852	1375	237
853	1376	235
854	1377	233
855	1378	231
856	1379	230
857	1380	228
858	1383	227
859	1385	225
860	1386	223
861	1387	222
862	1388	220
863	1389	218
864	1390	216
865	1391	215
866	1392	213
867	1393	211
868	1394	210
869	1395	208
870	1396	206
871	1398	205
872	1399	203
873	1400	201
874	1401	200
875	1402	198
876	1403	196
877	1404	195
878	1405	193
879	1406	191
880	1407	190
881	1408	188
882	1409	186
883	1410	185
884	1413	183
885	1414	182
886	1415	180
887	1416	178
888	1417	177
889	1418	175
890	1419	173
891	1420	172
892	1421	170
893	1422	168
894	1423	167
895	1424	165
896	1427	163
897	1429	162
898	1430	160
899	1432	159
900	1433	157
901	1434	155
902	1436	154
903	1437	152
904	1438	151
905	1440	149
906	1443	148
907	1445	146
908	1446	144
909	1447	143
910	1449	141
911	1450	139
912	1451	138
913	1453	136
914	1454	135
915	1455	133
916	1457	131
917	1458	130
918	1459	128
919	1460	127
920	1461	125
921	1462	123
922	1463	122
923	1464	120
924	1465	118
925	1466	117
926	1467	115
927	1468	113
928	1469	112
929	1470	110
930	1472	109
931	1474	107
932	1475	105
933	1476	104
934	1477	102
935	1478	101
936	1479	99
937	1480	97
938	1481	96
939	1482	94
940	1483	93
941	1484	91
942	1485	89
943	1487	88
944	1489	86
945	1490	85
946	1491	83
947	1492	81
948	1493	80
949	1494	78
950	1495	77
951	1496	75
952	1497	73
953	1498	72
954	1499	70
955	1500	69
956	1501	67
957	1503	65
958	1504	64
959	1505	62
960	1506	61
961	1507	59
962	1508	57
963	1509	56
964	1510	54
965	1511	53
966	1512	51
967	1513	50
968	1514	48
969	1515	46
970	1517	45
971	1518	43
972	1519	42
973	1520	40
974	1521	39
975	1522	37
976	1523	35
977	1524	34
978	1525	32
979	1526	31
980	1527	29
981	1528	28
982	1529	26
983	1530	24
984	1533	23
985	1534	21
986	1535	20
987	1536	18
988	1537	17
989	1539	15
990	1540	13
991	1541	12
992	1542	10
993	1543	9
994	1544	7
995	1545	6
996	1548	4
997	1549	3
998	1550	1
999	1551	0
